pid,s1_dwgt,s1_best_age_yrs,s1_age_intervals,s1_best_dob_m,s1_best_dob_y,s1_best_race,s1_best_gen,s1_empl,s1_locklevnat,s1_geo2011,s1_dc2011,s1_mdbdc2011,s1_prov2011,s1_intrv_c,s1_intrv_gen,s1_intrv_race,s1_intrv_dob_y,s1_intrv_lng1,s1_intrv_lng2,s1_intrv_lng3,s1_intrv_lng4,s1_intrv_lng5,s1_intrv_edu,s1_intrv_position,s1_intrv_years_exp_oth
"101280,7524.928799727811,30,1,10,1991,1,1,1,1,2,797,""EKU"",7,861,2,1,1981,4,11,3,2,6,26,2,0"
"101325,2242.246030053604,44,2,3,1977,1,1,-8,1,-9,-9,""-9"",7,804,1,1,1996,6,4,3,11,,12,2,2"
"101375,644.8549825987679,26,1,9,1995,1,1,1,1,2,199,""CPT"",1,856,2,1,1986,3,11,5,9,,12,2,0"
"101378,3596.670572273647,45,2,10,1976,1,2,1,1,2,199,""CPT"",1,849,1,1,1998,8,11,,,,12,2,0"
"101389,2682.034902646084,19,1,6,2002,1,1,0,1,2,748,""DC48"",7,812,2,1,1999,6,11,,,,12,2,0"
"101465,11208.72161522327,47,2,2,1974,4,1,1,1,2,830,""DC30"",8,857,2,1,1987,2,5,11,,,29,2,5"
"101474,5577.523170273019,30,1,4,1991,1,1,1,1,2,260,""BUF"",2,873,1,1,1997,1,11,3,,,12,2,0"
"101488,5860.406664168729,30,1,5,1991,1,1,1,1,-9,-9,""-9"",5,869,2,1,1995,8,11,4,,,12,2,0"
"101565,2276.424467726778,55,3,3,1966,1,2,1,1,2,799,""TSH"",7,874,2,1,1986,2,11,6,,,25,2,0"
"101595,11147.64027906139,23,1,1,1998,1,2,1,1,2,799,""TSH"",7,879,2,1,1990,4,11,3,6,,12,2,3"
"101598,3623.621107299649,35,2,6,1986,2,2,1,1,1,215,""DC15"",2,809,1,2,1983,10,11,,,,12,2,2"
"101600,2139.791309019868,39,2,12,1981,1,2,1,1,2,499,""MAN"",4,804,1,1,1996,6,4,3,11,,12,2,2"
"101605,908.1408393049782,26,1,6,1995,4,2,1,1,2,799,""TSH"",7,805,2,1,1991,6,4,11,,,25,2,5"
"101617,3623.621107299649,31,1,3,1990,1,1,1,1,1,213,""DC13"",2,841,2,1,1991,6,11,1,3,,33,2,0"
"101633,4768.56346645089,41,2,5,1980,1,1,1,1,2,522,""DC22"",5,879,2,1,1990,4,11,3,6,,12,2,3"
"101648,3898.215391091078,48,2,8,1973,1,1,1,1,3,832,""DC32"",8,839,2,1,1979,6,11,,,,12,2,0"
"101686,21637.50528287468,45,2,1,1976,1,1,1,1,2,199,""CPT"",1,801,2,1,1988,2,3,11,,,11,2,1"
"101698,908.1408393049782,30,1,4,1991,2,2,0,1,2,797,""EKU"",7,879,2,1,1990,4,11,3,6,,12,2,3"
"101709,11713.20574266651,37,2,-8,1984,1,2,0,1,-9,-9,""-9"",7,880,1,1,1994,3,11,9,7,10,33,2,0"
"101713,20880.35497763434,32,1,8,1989,1,1,0,1,2,830,""DC30"",8,817,2,1,1984,4,11,,,,11,2,0"
"101715,21637.50528287468,26,1,6,1995,1,1,0,1,1,559,""DC29"",5,823,1,1,1995,6,11,1,3,,32,2,4"
"101750,706.8140140013271,62,4,11,1959,1,2,1,1,2,499,""MAN"",4,862,2,1,1995,4,11,,,,11,2,0"
"101794,11010.55434000467,37,2,3,1984,1,1,1,1,1,832,""DC32"",8,850,2,1,1990,4,11,6,10,,27,2,1"
"101847,2058.215273298233,43,2,1,1978,4,2,1,1,2,210,""DC10"",2,881,1,1,1987,2,11,3,,,26,2,0"
"101852,6275.237387500658,35,2,-8,1987,1,2,0,1,2,798,""JHB"",7,810,2,1,1993,6,4,5,11,,27,2,3"
"101867,11147.64027906139,28,1,8,1993,1,1,1,1,2,798,""JHB"",7,881,1,1,1987,2,11,3,,,26,2,0"
"101872,2811.266961823875,21,1,1,2000,1,1,0,1,2,559,""DC29"",5,856,2,1,1986,3,11,5,9,,12,2,0"
"101901,2637.74000407898,30,1,12,1991,1,2,0,1,2,299,""NMA"",2,847,2,1,1987,11,6,3,,,26,2,0"
"101909,3207.933487760746,27,1,12,1994,1,2,1,1,2,798,""JHB"",7,889,2,1,1991,6,11,5,3,,12,2,8"
"101920,3176.150283282681,31,1,12,1990,1,2,0,1,2,522,""DC22"",5,808,2,1,1995,4,6,11,3,,12,2,4"
"101935,5746.152248238099,58,3,3,1963,1,2,0,1,2,799,""TSH"",7,826,2,1,1993,4,11,3,5,6,27,2,1"
"101951,7229.761620096211,33,1,8,1988,1,1,0,1,-9,-9,""-9"",2,817,2,1,1984,4,11,,,,11,2,0"
"101952,3176.150283282681,65,4,-8,1965,1,2,0,1,3,523,""DC23"",5,880,1,1,1994,3,11,9,7,10,33,2,0"
"101983,37.65411958530782,50,3,1,1971,1,1,1,1,-9,-9,""-9"",3,847,2,1,1987,11,6,3,,,26,2,0"
"102020,5854.495231348619,34,1,9,1987,1,1,0,1,2,830,""DC30"",8,818,2,1,1986,5,4,11,,,12,2,2"
"102045,7924.976808883407,54,3,5,1967,1,2,1,1,-9,-9,""-9"",7,840,2,1,1986,11,3,4,,,12,2,6"
"102046,19245.96425368491,31,1,3,1990,4,2,1,1,2,102,""DC2"",1,877,1,1,1987,3,11,4,,,12,2,5"
"102056,5854.495231348619,28,1,5,1993,1,2,1,1,2,830,""DC30"",8,815,2,1,1984,3,11,6,,,12,2,0"
"102089,5984.010356817235,77,4,4,1944,4,1,-8,1,-9,-9,""-9"",1,811,1,1,2001,9,3,11,,,12,2,0"
"102108,1465.305399060988,39,2,10,1982,1,1,1,1,2,797,""EKU"",7,853,2,1,1999,6,4,11,,,27,2,0"
"102131,7513.711109962177,44,2,11,1977,1,1,1,1,1,637,""DC37"",6,889,2,1,1991,6,11,5,3,,12,2,8"
"102132,14592.93160088618,31,1,3,1990,1,1,0,1,2,637,""DC37"",6,830,2,1,1995,3,6,11,,,6,2,0"
"102154,8826.886063182414,34,1,12,1987,1,1,1,1,2,215,""DC15"",2,883,1,1,1986,3,11,,,,25,2,4"
"102176,5860.406664168729,-8,-8,-8,-8,1,1,1,1,2,599,""ETH"",5,805,2,1,1991,6,4,11,,,25,2,5"
"102233,42.13398335211053,27,1,3,1994,1,1,0,1,2,797,""EKU"",7,837,2,1,1985,4,11,6,5,,25,2,0"
"102234,124.486997426649,33,1,5,1988,1,1,1,1,2,797,""EKU"",7,802,2,1,2001,6,4,11,,,12,2,0"
"102239,33572.25837296388,25,1,-8,1996,1,1,1,1,2,599,""ETH"",5,884,1,1,1986,2,3,11,,,12,2,14"
"102250,12219.73367048528,33,1,10,1988,1,1,1,1,2,934,""DC34"",9,831,1,1,1993,4,11,,,,12,2,2"
"102261,20880.35497763434,29,1,5,1992,1,1,1,1,2,798,""JHB"",7,846,2,1,1996,8,11,,,,25,-3,0"
"102368,12945.55192737976,50,3,1,1971,2,2,1,1,2,101,""DC1"",1,827,2,2,1999,10,11,,,,12,2,1"
"102406,31986.27182155869,32,1,6,1989,1,1,1,1,2,215,""DC15"",2,881,1,1,1987,2,11,3,,,26,2,0"
"102408,3690.229414610984,28,1,4,1993,1,1,0,1,2,935,""DC35"",9,856,2,1,1986,3,11,5,9,,12,2,0"
"102432,4768.56346645089,43,2,9,1978,1,2,1,1,2,599,""ETH"",5,864,2,1,1998,9,11,6,,,12,2,0"
"102504,4280.492586792947,37,2,2,1984,1,2,0,1,2,260,""BUF"",2,846,2,1,1996,8,11,,,,25,-3,0"
"102589,4280.492586792947,42,2,7,1979,1,2,1,1,2,299,""NMA"",2,815,2,1,1984,3,11,6,,,12,2,0"
"102626,3623.621107299649,29,1,1,1992,1,2,0,1,2,499,""MAN"",4,874,2,1,1986,2,11,6,,,25,2,0"
"102659,12541.30850009812,40,2,3,1981,1,1,1,1,-9,-9,""-9"",3,800,2,1,1980,2,11,3,6,1,12,2,0"
"102664,11618.77339152005,43,2,10,1978,1,1,0,1,1,528,""DC28"",5,850,2,1,1990,4,11,6,10,,27,2,1"
"102666,11147.64027906139,31,1,9,1990,1,2,0,1,2,799,""TSH"",7,823,1,1,1995,6,11,1,3,,32,2,4"
"102721,38.90120287566684,59,3,9,1962,1,1,0,1,3,798,""JHB"",7,848,2,1,1995,4,11,,,,12,2,0"
"102779,2276.424467726778,67,4,8,1954,1,2,0,1,2,799,""TSH"",7,801,2,1,1988,2,3,11,,,11,2,1"
"102805,327.1982934790267,35,2,12,1985,1,2,0,1,2,419,""DC19"",4,889,2,1,1991,6,11,5,3,,12,2,8"
"102831,1188.673842716602,23,1,4,1998,1,2,0,1,2,799,""TSH"",7,802,2,1,2001,6,4,11,,,12,2,0"
"102835,3596.670572273647,30,1,-8,1991,1,1,1,1,2,199,""CPT"",1,889,2,1,1991,6,11,5,3,,12,2,8"
"102848,632.7452875202199,31,1,7,1990,3,1,1,1,2,199,""CPT"",1,815,2,1,1984,3,11,6,,,12,2,0"
"102862,8614.170470308198,41,2,9,1980,1,1,1,1,2,555,""DC25"",5,883,1,1,1986,3,11,,,,25,2,4"
"102870,13987.81540528042,-8,-8,-8,-8,1,1,1,1,2,599,""ETH"",5,881,1,1,1987,2,11,3,,,26,2,0"
"102898,6275.237387500658,30,1,3,1991,2,2,0,1,2,309,""DC9"",3,857,2,1,1987,2,5,11,,,29,2,5"
"102911,3563.964300740512,24,1,8,1997,1,1,1,1,1,947,""DC47"",9,832,1,1,1982,11,6,,,,25,2,6"
"102937,8677.040135012601,62,4,8,1959,3,2,1,1,-9,-9,""-9"",5,815,2,1,1984,3,11,6,,,12,2,0"
"102956,109.9817358799991,28,1,9,1993,2,1,1,1,2,307,""DC7"",3,827,2,2,1999,10,11,,,,12,2,1"
"102970,1790.88201665002,55,3,-9,1966,1,2,-8,1,2,599,""ETH"",5,829,1,1,1998,6,11,,,,12,2,0"
"102987,5126.22209646237,66,4,4,1955,2,2,0,1,3,104,""DC4"",1,824,2,2,1973,10,11,,,,12,2,10"
"102989,2190.882470342218,32,1,11,1989,4,1,1,1,2,799,""TSH"",7,882,1,1,1994,11,6,,,,12,2,2"
"102997,13027.03033810609,33,1,2,1988,-8,2,1,1,-9,-9,""-9"",5,856,2,1,1986,3,11,5,9,,12,2,0"
"103044,141.413705743349,55,3,5,1966,2,1,1,1,2,556,""DC26"",5,827,2,2,1999,10,11,,,,12,2,1"
"103050,644.8549825987679,24,1,7,1997,2,2,1,1,2,199,""CPT"",1,808,2,1,1995,4,6,11,3,,12,2,4"
"103054,9698.485528485407,45,2,12,1976,4,2,0,1,2,799,""TSH"",7,814,2,2,1985,10,11,,,,25,2,10"
"103079,4265.431045692947,41,2,7,1980,1,1,1,1,1,543,""DC43"",5,846,2,1,1996,8,11,,,,25,-3,0"
"103112,6275.237387500658,39,2,-8,1982,1,2,0,1,1,555,""DC25"",5,804,1,1,1996,6,4,3,11,,12,2,2"
"103129,9720.26226695655,61,4,1,1960,3,1,1,1,2,555,""DC25"",5,801,2,1,1988,2,3,11,,,11,2,1"
"103143,2276.424467726778,57,3,5,1964,1,1,1,1,2,797,""EKU"",7,801,2,1,1988,2,3,11,,,11,2,1"
"103183,657.1009735218801,60,4,10,1961,4,1,1,1,2,799,""TSH"",7,882,1,1,1994,11,6,,,,12,2,2"
"103217,10083.47340240762,28,1,4,1993,1,1,1,1,2,935,""DC35"",9,862,2,1,1995,4,11,,,,11,2,0"
"103220,908.1408393049782,26,1,9,1995,2,1,1,1,-9,-9,""-9"",7,802,2,1,2001,6,4,11,,,12,2,0"
"103293,2586.554584954199,28,1,6,1993,1,1,1,1,-9,-9,""-9"",5,824,2,2,1973,10,11,,,,12,2,10"
"103333,20880.35497763434,32,1,-9,1988,1,1,1,1,2,797,""EKU"",7,829,1,1,1998,6,11,,,,12,2,0"
"103373,3623.621107299649,33,1,10,1988,1,2,0,1,2,499,""MAN"",4,873,1,1,1997,1,11,3,,,12,2,0"
"103385,3596.670572273647,42,2,7,1979,1,2,1,1,2,199,""CPT"",1,829,1,1,1998,6,11,,,,12,2,0"
"103434,12219.73367048528,29,1,12,1992,1,1,1,1,2,799,""TSH"",7,804,1,1,1996,6,4,3,11,,12,2,2"
"103442,5860.406664168729,28,1,6,1993,1,1,1,1,2,599,""ETH"",5,808,2,1,1995,4,6,11,3,,12,2,4"
"103451,6094.608415897959,40,2,7,1981,2,2,1,1,-9,-9,""-9"",1,800,2,1,1980,2,11,3,6,1,12,2,0"
"103464,932.0493273981399,52,3,11,1969,1,1,0,1,2,935,""DC35"",9,815,2,1,1984,3,11,6,,,12,2,0"
"103476,5577.523170273019,29,1,6,1992,1,2,0,1,2,104,""DC4"",1,829,1,1,1998,6,11,,,,12,2,0"
"103481,4965.691039397759,47,2,-8,1974,1,1,1,1,2,260,""BUF"",2,833,1,1,1998,5,11,3,6,,27,2,0"
"103489,2757.914214649902,18,1,-8,2003,1,1,0,1,2,799,""TSH"",7,809,1,2,1983,10,11,,,,12,2,2"
"103525,6275.237387500658,36,2,12,1985,1,2,1,1,2,797,""EKU"",7,857,2,1,1987,2,5,11,,,29,2,5"
"103562,7097.06522785985,23,1,6,1998,2,2,1,1,2,199,""CPT"",1,827,2,2,1999,10,11,,,,12,2,1"
"103578,957.2613307384732,69,4,11,1952,1,2,0,1,2,797,""EKU"",7,801,2,1,1988,2,3,11,,,11,2,1"
"103582,20880.35497763434,30,1,-9,1991,1,1,0,1,2,799,""TSH"",7,847,2,1,1987,11,6,3,,,26,2,0"
"103611,2811.266961823875,72,4,3,1949,-8,1,-8,1,-9,-9,""-9"",9,813,1,1,1996,11,,,,,12,2,0"
"103650,157.2744565304275,65,4,6,1956,2,2,-8,1,2,416,""DC16"",4,885,1,1,1995,4,9,6,11,,26,2,3"
"103672,13987.81540528042,35,2,11,1986,1,1,1,1,2,797,""EKU"",7,857,2,1,1987,2,5,11,,,29,2,5"
"103711,124.1828994388728,61,4,-9,1960,1,2,0,1,2,499,""MAN"",4,833,1,1,1998,5,11,3,6,,27,2,0"
"103720,8614.170470308198,41,2,-8,1980,1,1,1,1,1,554,""DC24"",5,803,2,1,1983,2,3,5,11,,31,2,8"
"103854,1790.88201665002,19,1,11,2002,1,2,0,1,2,528,""DC28"",5,829,1,1,1998,6,11,,,,12,2,0"
"103871,2874.967048484701,30,1,1,1991,1,1,1,1,2,599,""ETH"",5,867,2,1,1997,4,6,11,1,3,32,2,0"
"103873,5907.913470575352,57,3,4,1964,3,2,0,1,2,599,""ETH"",5,885,1,1,1995,4,9,6,11,,26,2,3"
"103877,4119.154183113366,57,3,6,1964,1,2,0,1,2,798,""JHB"",7,819,2,1,2002,8,11,4,5,6,25,2,0"
"103952,3623.621107299649,27,1,8,1994,1,1,1,1,2,499,""MAN"",4,805,2,1,1991,6,4,11,,,25,2,5"
